epoch,lr,train_loss,train_iou,train_dice,train_pixel_acc,val_loss,val_iou,val_dice,val_pixel_acc,epoch_time_s
1,0.0002,0.5788992409770554,0.368082967460961,0.5028509578189334,0.9107083114417823,0.48214568942785263,0.46248529106378555,0.6047632470726967,0.9471827372908592,39.2
2,0.0002,0.45152214894423615,0.48409708448358485,0.6261903514733186,0.9535392458374435,0.41136273369193077,0.5050047300755978,0.6474825069308281,0.9570998996496201,19.1
3,0.0002,0.396661387102024,0.5154046094095385,0.6553360094895234,0.959469007479178,0.3576456420123577,0.5417828261852264,0.6793855875730515,0.9642407521605492,19.1
4,0.0002,0.35418729524354675,0.5341760685315003,0.6732388557614507,0.9625300056225544,0.31484755501151085,0.5515029728412628,0.6885444447398186,0.9654531329870224,19.2
5,0.0002,0.3196699530691714,0.5456095490906689,0.6835609755000552,0.9645837674269805,0.2927716225385666,0.5522680580615997,0.6885561794042587,0.9656808152794838,19.3
6,0.0002,0.2919526986173681,0.5537619671306094,0.6906426838926367,0.9661000016573313,0.274755347520113,0.551887609064579,0.6886262595653534,0.9659274220466614,19.4
7,0.0002,0.26895632212226456,0.5616618346523594,0.697405671751177,0.9675974878104957,0.2483850847929716,0.5677206814289093,0.7025233656167984,0.968299575150013,19.3
8,0.0002,0.25014420820249095,0.5704201830400003,0.706123803112958,0.9685033737002192,0.23175147362053394,0.5800657123327255,0.7135637998580933,0.9709473624825478,19.3
9,0.0002,0.23813522586951386,0.5722570725389429,0.7071147609401394,0.968773906295364,0.23210034146904945,0.5690899342298508,0.7035926505923271,0.9697183072566986,19.3
10,0.0002,0.227922690075797,0.5780720759082485,0.7122087913590509,0.9695594004682593,0.22480137832462788,0.5659829527139664,0.6992327347397804,0.9700211584568024,19.3
11,0.0002,0.21951429384785728,0.5822274137187649,0.7162948476301657,0.9702705998678465,0.2162119410932064,0.5839610695838928,0.7186523005366325,0.9708123058080673,19.7
12,0.0002,0.21517530325296763,0.5828449645557919,0.7173045632001516,0.9697952737679353,0.20938770845532417,0.5828207954764366,0.717024028301239,0.9706957116723061,19.5
13,0.0002,0.20966510394135038,0.5868542548772451,0.7209284966056412,0.9707099956435126,0.20916618406772614,0.5876429975032806,0.7210309058427811,0.9712011739611626,19.3
14,0.0002,0.2048201476399963,0.5918308609240764,0.7252411487940196,0.971091549138765,0.20577674731612206,0.5832337588071823,0.7166683375835419,0.9716621935367584,19.2
15,0.0002,0.20195490766215968,0.592836665140616,0.7261067274454478,0.9714768915563017,0.2072494775056839,0.5820837765932083,0.7156748026609421,0.9703093096613884,19.3
16,0.0002,0.19860592162286914,0.5968264148042008,0.7298355134757789,0.9716574275815809,0.20040514133870602,0.5880551487207413,0.7222743928432465,0.9719531089067459,19.4
17,0.0002,0.1961114273683445,0.5992218481527792,0.7323870078937428,0.971655860140517,0.20192225091159344,0.5867745876312256,0.7209959328174591,0.9698646813631058,19.5
18,0.0002,0.19284993651750926,0.6028258752178501,0.7348052327697342,0.9722453468554729,0.2015404999256134,0.5863787904381752,0.7193417698144913,0.9710192382335663,19.8
19,0.0002,0.19042354177784276,0.6060775260667544,0.7380764436077427,0.9725229144096375,0.20079327560961246,0.5830496326088905,0.7172898501157761,0.9716830849647522,20.2
20,0.0002,0.1894673531925356,0.6067658243952571,0.7381787316219227,0.9727419115401603,0.20045277290046215,0.5851215943694115,0.7172696515917778,0.9708486273884773,19.7
21,0.0002,0.1908058226108551,0.6029062818836521,0.7350318077448252,0.9724370305602615,0.2001220341771841,0.5842381715774536,0.7175604552030563,0.9715625569224358,19.5
22,0.0001,0.1862275910538596,0.611358371940819,0.7422797631573033,0.9727953334112425,0.19585533067584038,0.590234562754631,0.7233662381768227,0.9726781025528908,19.4
23,0.0001,0.17947913947943095,0.6211916159939121,0.7516421353494799,0.974008909753851,0.19330075569450855,0.5963363349437714,0.7292169630527496,0.9717893376946449,19.4
24,0.0001,0.18087227320348895,0.6186384268709131,0.7489832800787848,0.9734758831359245,0.19177607633173466,0.5987496301531792,0.7303830981254578,0.9722266718745232,19.5
25,0.0001,0.17860152270342852,0.6225478004764866,0.7521102782842275,0.9739131186459515,0.1933831125497818,0.5947931557893753,0.727626696228981,0.972120925784111,19.4
26,0.0001,0.1759177430255993,0.6271818489641756,0.7563144645175418,0.9744244910575248,0.19343231618404388,0.5940878689289093,0.7273452579975128,0.972345195710659,19.4
27,0.0001,0.17409466569488113,0.6294914918976862,0.7584906349311004,0.9744644358351424,0.19404087588191032,0.5933038294315338,0.7254846021533012,0.9728041216731071,19.4
28,0.0001,0.173555813528396,0.630477566976805,0.7592690748137396,0.9745217916127797,0.19444638676941395,0.5932691916823387,0.7266425788402557,0.9727647304534912,20.3
29,0.0001,0.17340424455500938,0.6307994401132738,0.7593122028015755,0.9746005808984911,0.19221778586506844,0.5971194952726364,0.7299806401133537,0.9721842110157013,20.1
30,5e-05,0.17158800685727918,0.633287484581406,0.7612967893883988,0.9748076812641041,0.19310717657208443,0.5941323712468147,0.7276776358485222,0.9722355827689171,20.2
31,5e-05,0.16760731629423192,0.6398744889207788,0.7672728300094604,0.9754899836875297,0.19298427551984787,0.5952770486474037,0.727898396551609,0.9725729450583458,20.3
32,5e-05,0.16886213784282272,0.6382401553360192,0.7654826753848308,0.975325163957235,0.19260338507592678,0.5964741483330727,0.7293029502034187,0.9722456410527229,20.5
