epoch,lr,train_loss,train_iou,train_dice,train_pixel_acc,val_loss,val_iou,val_dice,val_pixel_acc,epoch_time_s
1,0.0001,0.5255247325666489,0.011602340954273278,0.020311495262919175,0.9827770513872947,0.4894850126334599,0.03050544299185276,0.053261356694357734,0.9943481002535138,102.2
2,0.0001,0.47834127564584056,0.05158128961920738,0.0880892189039338,0.992446618695413,0.45973630462374004,0.08164526202848979,0.13753199790205275,0.9905689784458706,45.0
3,0.0001,0.463976816784951,0.06961544458904574,0.11640969351414711,0.9926131425365325,0.447058950151716,0.0960915812424251,0.15892428159713745,0.9921036788395473,44.1
4,0.0001,0.4512343762382384,0.08806099261968367,0.1448711793749563,0.9923468385973284,0.4417374219213213,0.09929843991994858,0.16409397338117873,0.9927347302436829,43.0
5,0.0001,0.4468749059784797,0.0921200470578286,0.15118624822747323,0.992481981554339,0.4369065250669207,0.1063314825296402,0.1745255206312452,0.9917710593768528,43.2
6,0.0001,0.44393295914896075,0.0957260799984778,0.15582770806166432,0.9926547869559257,0.4334367981978825,0.11084042063781194,0.1826830165726798,0.9913681745529175,43.0
7,0.0001,0.4381865320667144,0.10368185971052415,0.16788903984331316,0.9926484015680128,0.4305585665362222,0.11281012211527143,0.1852430190358843,0.9927201867103577,44.4
8,0.0001,0.43739056298809664,0.10352108819830802,0.16739760002782267,0.9928390768266493,0.42903922711099896,0.11576397610562188,0.1890571607010705,0.9923293845994132,46.6
9,0.0001,0.43457641620789805,0.10750472377384862,0.17331215354704088,0.9927536883661824,0.42753695590155466,0.11715754440852574,0.19129967902387893,0.9921866995947701,48.3
10,0.0001,0.4307568775069329,0.1135359694880824,0.1821685649694935,0.9928966875999204,0.4247271163122995,0.12176522612571716,0.1977874764374324,0.9923535074506488,49.6
11,0.0001,0.4280213415622711,0.11684866658141536,0.18677546901087608,0.9929299354553223,0.42528135435921804,0.11953635407345635,0.19431012443133763,0.9928902898515973,50.0
12,0.0001,0.42660357298389556,0.1191153968534162,0.1892614278101152,0.9932932123061149,0.4255266232149942,0.11918312630483083,0.1925402113369533,0.9927320224898202,46.7
13,0.0001,0.42293200954314203,0.12485514436998675,0.1980248785788013,0.9932114308880221,0.42421458448682514,0.12061063519545964,0.1952070359672819,0.9933756675039019,45.4
14,0.0001,0.42378173335906,0.12213562549121919,0.19468720545691828,0.9931229102996088,0.42235743573733736,0.1244875927056585,0.2017469299691064,0.9919950195721218,43.4
15,0.0001,0.4247045690013516,0.1216092869158714,0.19348864113130876,0.993057002944331,0.4223226010799408,0.12321774342230388,0.19814594302858626,0.9938516361372811,45.3
16,0.0001,0.42076421168542677,0.12715900064476074,0.2015354263205682,0.9932396854123762,0.41905725853783743,0.13046738824674062,0.20924841931888036,0.9927555067198617,41.8
17,0.0001,0.41966320430078813,0.12905317064254515,0.20363495811339347,0.9932212483498358,0.41892830388886587,0.1288018992968968,0.20703717853341783,0.9934799841472081,43.2
18,0.0001,0.41781333761830486,0.1307204421008787,0.2056006476763756,0.9934638623268374,0.4188114362103598,0.13064199153866088,0.2100921379668372,0.992783214364733,44.6
19,0.0001,0.41352798188886336,0.13714397746709087,0.21555061205740897,0.9934697228093301,0.420094724212374,0.1268462570650237,0.20323037249701364,0.993352975164141,47.4
20,0.0001,0.4107558188899871,0.14088545979992037,0.22077179916443362,0.9935324403547472,0.4202489469732557,0.12815081860337937,0.20535993788923537,0.9926011562347412,46.9
