epoch,lr,train_loss,train_iou,train_dice,train_pixel_acc,val_loss,val_iou,val_dice,val_pixel_acc,epoch_time_s
1,0.0001,0.7011996831582941,0.2988170744932216,0.41314830080322595,0.8884742985601011,0.6658284902572632,0.39290475398302077,0.5268958508968353,0.9703252017498016,289.5
2,0.0001,0.6461597305277119,0.41243137678374414,0.5444361703551334,0.9671490296073582,0.6259305894374847,0.4628381013870239,0.591877880692482,0.9767845451831818,10.2
3,0.0001,0.6344166968179785,0.4112339084563048,0.5415042697087579,0.9623435061910878,0.6254730105400086,0.4685113847255707,0.6002071291208267,0.9763794541358948,10.6
4,0.0001,0.6168792429177657,0.4507996971192567,0.5848175066968669,0.968115350474482,0.6107591211795806,0.44420793652534485,0.5782230168581008,0.973596739768982,10.9
5,0.0001,0.6007440362287604,0.45591066777706146,0.5911721049443536,0.9693920715995457,0.5977746665477752,0.4854651212692261,0.6160162717103959,0.9787187099456787,11.4
6,0.0001,0.5875276417835898,0.47504158253255097,0.6099580772545027,0.9718270923780359,0.5824214398860932,0.4798099875450134,0.6088366657495499,0.9772371351718903,10.6
7,0.0001,0.5743221342563629,0.4872800532890403,0.6208912153606829,0.9738279425579569,0.5740585803985596,0.5139178037643433,0.6443633049726486,0.980087149143219,11.7
8,0.0001,0.5635266874147498,0.5023046524628348,0.6355488319759783,0.9744937316231106,0.5568276226520539,0.5054885029792786,0.6380456209182739,0.9783051967620849,10.9
9,0.0001,0.5519190333459688,0.5028289731429971,0.6349621752034063,0.9758050338081692,0.551872330904007,0.5304745554924011,0.6584859609603881,0.9799825727939606,12.3
10,0.0001,0.539466186710026,0.5226847192515498,0.6545652475046075,0.9775739752728007,0.5454312771558761,0.49114859402179717,0.6263018369674682,0.9749012589454651,11.6
11,0.0001,0.5336889773607254,0.511850572798563,0.6425823996896329,0.9760773700216542,0.5373156905174256,0.5263541400432586,0.658113831281662,0.9792726576328278,11.1
12,0.0001,0.5226841128390768,0.5259555895691332,0.6551577280397001,0.9774543513422427,0.5253736972808838,0.5645307093858719,0.6844718337059021,0.9838354408740997,11.4
13,0.0001,0.5121048922124116,0.5299892140471417,0.658923929800158,0.9780647029047427,0.5156966537237168,0.5701755344867706,0.6870707392692565,0.9848427414894104,11.0
14,0.0001,0.5031760924536249,0.5375597755546155,0.6656234627184661,0.9783700445423955,0.5050846427679062,0.5330640345811843,0.667339313030243,0.9787537217140198,11.8
15,0.0001,0.4939081733641417,0.5376906045105146,0.6669095812932305,0.9780669005020804,0.5008756786584854,0.5253810703754425,0.6567884415388108,0.9794989466667176,11.2
16,0.0001,0.48549750706423883,0.5412193167468776,0.6711330750714177,0.978135233340056,0.48269171714782716,0.5710547864437103,0.6940811157226563,0.9835254192352295,11.3
17,0.0001,0.47269608404325403,0.5566365893768228,0.6869251216235368,0.9804057660310165,0.4770250469446182,0.5620999753475189,0.6898278653621673,0.9823619902133942,12.7
18,0.0001,0.46624450644721155,0.551975539844969,0.6794476910777714,0.9793384800786558,0.4728846371173859,0.5854674369096756,0.7130637228488922,0.9838155806064606,11.0
19,0.0001,0.45811098230921704,0.5503932963246885,0.6786656068718951,0.9791162324988324,0.4582042247056961,0.5455923080444336,0.6742213189601898,0.9806597352027893,11.0
20,0.0001,0.4453684072131696,0.569568523246309,0.6955392218154409,0.9812831049380095,0.44947448670864104,0.5500615328550339,0.6760901629924774,0.9806601703166962,11.7
21,0.0001,0.43955684161704517,0.5627159042202908,0.6904715856780177,0.9797864996868632,0.43627776205539703,0.6224194228649139,0.7368404865264893,0.9875844717025757,11.4
22,0.0001,0.4288479471984117,0.569892239311467,0.69596292272858,0.9807520742001741,0.4305635869503021,0.6146753281354904,0.7367680251598359,0.9858772039413453,12.3
23,0.0001,0.4153059183255486,0.5810762838177059,0.7068280616532201,0.9823707497638204,0.41782671511173247,0.6106499969959259,0.7354274570941925,0.9852644562721252,11.1
