epoch,lr,train_loss,train_iou,train_dice,train_pixel_acc,val_loss,val_iou,val_dice,val_pixel_acc,epoch_time_s
52,0.0001,0.3941852695518924,0.16833185656897484,0.250064994538984,0.9948404489024993,0.38228937557765413,0.18289212403552874,0.27480146288871765,0.994511331830706,35.2
53,0.0001,0.3957975386611877,0.16428708717707666,0.2443530987347326,0.9947589626235347,0.3825184979609081,0.18067370461566107,0.27315299000058857,0.9944969585963658,35.0
54,0.0001,0.39548272567410625,0.16479029061813508,0.24539972889807918,0.9946659937981637,0.3806547203234264,0.18415845877357892,0.27630847905363354,0.9945809500558036,35.0
55,0.0001,0.40444307509929905,0.15119193205910345,0.22576243550546707,0.9945878771043593,0.3805594763585499,0.18405705530728614,0.27505310092653545,0.9950880323137555,35.0
56,0.0001,0.3998839936910137,0.15787724225271133,0.23457847631746723,0.9948140027061585,0.3816975099699838,0.18123527669480868,0.2723607931818281,0.995060920715332,35.2
57,0.0001,0.3970223049963674,0.1623176923922954,0.24089105451299297,0.9946923496261719,0.38067278265953064,0.18354940946613038,0.27559853558029446,0.9949182782854352,34.7
58,0.0001,0.40160554887786987,0.1541987758490347,0.2307492919987248,0.9946819745725201,0.3821870003427778,0.1817000455089978,0.2730263024568558,0.994577441896711,34.9
59,0.0001,0.39490981496149496,0.16401529432304443,0.2445546751541476,0.9947098945417712,0.37972848543098997,0.18489768622176989,0.2768729403614998,0.9947920867374965,34.6
60,0.0001,0.3943428272201169,0.16510829245371203,0.24553539459743806,0.9947627504025737,0.3783989655120032,0.18674558667199953,0.28062483987637926,0.9941205297197614,34.7
61,0.0001,0.3900083678383981,0.17181422345099912,0.25320350450854145,0.9948964590026487,0.37712691724300385,0.18915077511753356,0.28259680952344624,0.9945620468684605,36.9
62,0.0001,0.390997237736179,0.1699783609759423,0.25236524377138386,0.9947953435682482,0.3797981824193682,0.18443963463817323,0.275763315813882,0.9950879982539585,39.4
63,0.0001,0.3918345820519232,0.16771119544582982,0.24952080317081943,0.9948309092752395,0.3745578293289457,0.19089612045458385,0.28593770414590836,0.994889497756958,35.9
64,0.0001,0.3914567760882839,0.16908771797053276,0.25068386596056724,0.994760000897992,0.3774728093828474,0.18788485335452215,0.28238505337919506,0.994260311126709,35.2
65,0.0001,0.385313872368105,0.17760373627947224,0.26400246350995954,0.9948225578954143,0.37701194839818136,0.1884474637252944,0.28272962889501024,0.9946099690028599,35.4
66,0.0001,0.38802372303701216,0.1733645105794553,0.25755370432330715,0.9948129413589355,0.3749450998646872,0.1910040985260691,0.28567932333265034,0.9947917801993233,37.0
67,0.0001,0.39522513603010484,0.16364343055794317,0.2419913009770455,0.9947402458037099,0.3783710492508752,0.18494668869035585,0.2772148272820881,0.9948921544211251,100.3
68,0.0001,0.3950913803231332,0.16324585664176172,0.24253726606407472,0.9946783329209974,0.3747390104191644,0.19067076167890004,0.28485092733587536,0.9951374871390206,34.9
69,0.0001,0.3945154042974595,0.164652768522501,0.24323441028114287,0.9948623987936205,0.37478360533714294,0.19122567772865295,0.2852903263909476,0.9947941643851144,34.4
70,0.0001,0.3863550328439282,0.17603394473271985,0.26037430474835055,0.9949181733592865,0.3749830403498241,0.19118936945285117,0.28596440702676773,0.9946539061410087,34.4
71,0.0001,0.3854545710548278,0.17723128091423743,0.26245609622809196,0.9947680715591677,0.375032439827919,0.19010266555207117,0.2839364345584597,0.9948995794568744,34.5
72,0.0001,0.3839987886528815,0.17951774741372756,0.2652331797345992,0.9948859483964981,0.3762679717370442,0.1886780671775341,0.281409601015704,0.9952882358006069,34.4
73,0.0001,0.3850809499140709,0.17779902789381244,0.26262794266785344,0.9948014270874762,0.37256213809762684,0.19301267287560872,0.2881279406802995,0.9951910972595215,34.3
74,0.0001,0.3877209199051703,0.17355516240481408,0.25711236101004387,0.9948145535684401,0.37439210287162233,0.19139250633972033,0.28421994405133383,0.9951762812478202,34.5
75,0.0001,0.3844489051449683,0.17786805247587542,0.2636553419213141,0.9948838699248529,0.37879507669380735,0.18550705217889377,0.27559048576014383,0.9949659620012555,34.7
