epoch,lr,train_loss,train_iou,train_dice,train_pixel_acc,val_loss,val_iou,val_dice,val_pixel_acc,epoch_time_s
1,0.0002,0.7074504075823603,0.33905029468036985,0.47289531114133626,0.901395773565447,0.6692505888640881,0.36404572427272797,0.5103755164891481,0.9102827720344067,46.3
2,0.0002,0.6484958859714302,0.39217217467926646,0.5335842411260348,0.9297584561077324,0.6295122914016247,0.3921431601047516,0.5369757898151875,0.9245393313467503,36.6
3,0.0002,0.611960511755299,0.4180084885777654,0.5606336553354521,0.9368328105758976,0.5909420065581799,0.44420093670487404,0.5910405032336712,0.9420358464121819,35.8
4,0.0002,0.5718767691302944,0.44150912077040283,0.5842148045430312,0.9438717389428938,0.5592665262520313,0.42840459011495113,0.5715664103627205,0.9445804916322231,35.8
5,0.0002,0.5345171085886053,0.4679424412347175,0.6114727202299479,0.9497809812829301,0.5135679338127375,0.5000275783240795,0.6432928033173084,0.9570311829447746,36.1
6,0.0002,0.4976439568642023,0.4821842586671984,0.623157388455159,0.9542433200655757,0.48489344865083694,0.5022397097200155,0.6448713913559914,0.9566543698310852,36.1
7,0.0002,0.46049373778137,0.49693486054201386,0.6368037478343861,0.9574923555593233,0.4308107793331146,0.5117692239582539,0.6535954810678959,0.9577690325677395,35.6
8,0.0002,0.4296362911527221,0.5013749430308471,0.6400001830345875,0.9593220723641885,1.0143641158938408,0.2905044835060835,0.42309136502444744,0.84023592248559,37.7
9,0.0002,0.6364671277838785,0.2923876478059872,0.4107598452954679,0.9029504495698053,0.7400833740830421,0.2997390143573284,0.43196832574903965,0.8863916918635368,37.4
10,0.0002,0.6744285717203811,0.25475111140592677,0.36895109471437093,0.8875722136046436,0.6017150655388832,0.296968343667686,0.4257493056356907,0.9211079254746437,37.9
11,0.0002,0.6705592943204416,0.2588630485776308,0.3751712711276235,0.885757579191311,0.6038444824516773,0.2986610047519207,0.42920696921646595,0.9165717251598835,38.1
12,0.0002,0.6721421947350373,0.2592750757529929,0.3754622013987722,0.8836097346769797,0.6052100211381912,0.298194857314229,0.42904726788401604,0.9145094677805901,36.6
13,0.0001,0.6785617809037905,0.25916442979831955,0.37471289570267136,0.8815749891706415,0.6088623553514481,0.3021308723837137,0.4341242164373398,0.9151075631380081,37.2
14,0.0001,0.6763572934511546,0.2562075464709385,0.37238094351581624,0.8823591583483928,0.621452059596777,0.2985626393929124,0.43041848205029964,0.9195886291563511,36.4
15,0.0001,0.676200401138615,0.2619225767415923,0.37883412596341726,0.8807991316189637,0.6322059705853462,0.2955440478399396,0.42788551934063435,0.9164775609970093,36.6
